date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2017-03-31,sz.002269,5.0600000000,5.1000000000,4.4700000000,4.5000000000,284988148,1376624670.0000,2,11.342812,-11.417323
2017-04-28,sz.002269,4.5000000000,4.6600000000,4.0100000000,4.1100000000,173123702,758429590.0000,2,6.890496,-8.666667
2017-05-31,sz.002269,4.1200000000,4.4200000000,3.6500000000,3.7700000000,185272449,743181838.0000,2,7.374028,-8.272506
2017-06-30,sz.002269,3.7700000000,3.8900000000,3.5900000000,3.7300000000,159537404,603401130.0000,2,6.349747,-1.061008
2017-07-31,sz.002269,3.7400000000,3.8900000000,3.5300000000,3.7500000000,188190146,705908509.0000,2,7.490155,0.536193
2017-08-31,sz.002269,3.7500000000,3.9600000000,3.6800000000,3.9400000000,202651314,773855865.0000,2,8.065724,5.066667
2017-09-29,sz.002269,3.9400000000,3.9700000000,3.6800000000,3.7200000000,139433558,535214232.0400,2,5.549594,-5.583756
2017-10-31,sz.002269,3.7500000000,3.8200000000,3.5700000000,3.6000000000,86649981,321180405.4600,2,3.448755,-3.225806
2017-11-30,sz.002269,3.6000000000,3.6700000000,3.1000000000,3.2900000000,124971282,427211096.8200,2,4.973981,-8.611111
2017-12-29,sz.002269,3.2900000000,3.3500000000,3.1100000000,3.2900000000,94408114,307637461.5100,2,3.757537,0.000000
2018-01-31,sz.002269,3.3000000000,3.5400000000,3.1200000000,3.3100000000,141382821,459744241.2300,2,5.627177,0.607903
2018-02-28,sz.002269,3.2600000000,3.2700000000,2.7000000000,2.9000000000,109983919,317526610.6700,2,4.377469,-12.386707
2018-03-30,sz.002269,2.8900000000,3.0300000000,2.7100000000,2.9200000000,116747375,340501450.4900,2,4.646662,0.689655
2018-04-27,sz.002269,2.9500000000,3.0600000000,2.7500000000,2.8200000000,88182796,257405263.5100,2,3.509763,-3.424658
2018-05-31,sz.002269,2.8300000000,3.3900000000,2.8200000000,3.3600000000,243605606,774394646.7000,2,9.695746,19.148936
2018-06-29,sz.002269,3.3200000000,3.3500000000,2.6600000000,2.9000000000,133165339,403474903.3800,2,5.300113,-13.690476
2018-07-31,sz.002269,2.8800000000,3.2100000000,2.7700000000,3.0900000000,73504433,220770987.5800,2,2.925550,6.551724
2018-08-31,sz.002269,3.0900000000,3.1100000000,2.7700000000,2.8100000000,45083409,131171597.3800,2,1.794365,-9.061489
2018-09-28,sz.002269,2.8100000000,2.8400000000,2.6500000000,2.7200000000,53641227,147016976.0600,2,2.134974,-3.202847
2018-10-31,sz.002269,2.7100000000,2.7100000000,2.1300000000,2.3600000000,61325011,145740243.8200,2,2.440796,-13.235294
2018-11-30,sz.002269,2.3800000000,2.6800000000,2.3400000000,2.4700000000,132576559,335983817.8500,2,5.276679,4.661017
2018-12-28,sz.002269,2.5100000000,2.6000000000,2.2700000000,2.3100000000,68950453,169524161.7600,2,2.744297,-6.477733
2019-01-31,sz.002269,2.3100000000,2.4800000000,2.1700000000,2.2500000000,92025008,218963974.5400,2,3.662687,-2.597403
2019-02-28,sz.002269,2.2600000000,2.8000000000,2.2600000000,2.7100000000,115898326,298540124.0100,2,4.612869,20.444444
2019-03-29,sz.002269,2.7400000000,3.4400000000,2.6900000000,3.2000000000,397129410,1247054701.0800,2,15.806146,18.081181
2019-04-30,sz.002269,3.2100000000,3.5300000000,2.8000000000,2.8300000000,257378932,833305284.1800,2,10.243938,-11.562500
2019-05-31,sz.002269,2.7900000000,2.9200000000,2.5600000000,2.6600000000,155051352,424899655.0200,2,6.171198,-6.007067
2019-06-28,sz.002269,2.6500000000,2.7100000000,2.4900000000,2.6300000000,67266690,175635749.7200,2,2.677281,-1.127820
2019-07-31,sz.002269,2.6600000000,2.6900000000,2.2900000000,2.3400000000,82750658,206329670.2700,2,3.293500,-11.026616
2019-08-30,sz.002269,2.3400000000,2.3400000000,2.1300000000,2.2100000000,125118632,280188735.7400,2,4.980200,-5.555556
2019-09-30,sz.002269,2.2200000000,2.3300000000,2.1100000000,2.1200000000,103155077,231755501.1600,2,4.105500,-4.072398
2019-10-31,sz.002269,2.1200000000,2.4800000000,2.0900000000,2.3100000000,150016520,338608168.2700,2,5.970800,8.962264
2019-11-29,sz.002269,2.2400000000,2.3800000000,1.8700000000,1.9200000000,162375711,337654512.7400,2,6.462900,-16.883117
2019-12-31,sz.002269,1.9200000000,2.9300000000,1.9000000000,2.5500000000,431395180,1013805633.1300,2,17.170000,32.812500
2020-01-23,sz.002269,2.5900000000,2.8100000000,2.1100000000,2.1300000000,359517474,880183509.9400,2,14.309200,-16.470588
